text,aspect,label,text_en
"Le concert était incroyable, le son était propre et le public à fond, mais c'était interminable et il faisait trop chaud.",ambiance,positive,"Das Konzert war unglaublich, der Sound war sauber und das Publikum laut, aber es war endlos und es war zu heiß."
"Le concert était incroyable, le son était propre et le public à fond, mais c'était interminable et il faisait trop chaud.",durée,negative,"Das Konzert war unglaublich, der Sound war sauber und das Publikum laut, aber es war endlos und es war zu heiß."
"Le resto est hyper sympa, la déco est stylée et le personnel adorable, par contre les portions sont minuscules et l’addition fait mal.",service,positive,"Das Restaurant ist super schön, die Einrichtung ist stilvoll und das Personal bezaubernd, allerdings sind die Portionen winzig und die Rechnung ist teuer."
"Le resto est hyper sympa, la déco est stylée et le personnel adorable, par contre les portions sont minuscules et l’addition fait mal.",prix,negative,"Das Restaurant ist super schön, die Einrichtung ist stilvoll und das Personal bezaubernd, allerdings sind die Portionen winzig und die Rechnung ist teuer."
"J’ai adoré le cours, le prof explique bien et les exemples sont clairs, mais c’est beaucoup trop dense.",pédagogie,positive,"Der Kurs hat mir gut gefallen, der Lehrer erklärt gut und die Beispiele sind klar, aber er ist viel zu dicht."
"J’ai adoré le cours, le prof explique bien et les exemples sont clairs, mais c’est beaucoup trop dense.",charge,negative,"Der Kurs hat mir gut gefallen, der Lehrer erklärt gut und die Beispiele sind klar, aber er ist viel zu dicht."
"Le voyage était génial, paysages magnifiques et gens accueillants, mais les transports étaient une galère.",paysages,positive,"Die Reise war großartig, wunderschöne Landschaften und freundliche Menschen, aber der Transport war mühsam."
"Le voyage était génial, paysages magnifiques et gens accueillants, mais les transports étaient une galère.",transports,negative,"Die Reise war großartig, wunderschöne Landschaften und freundliche Menschen, aber der Transport war mühsam."
"La soirée était cool, bonne musique et ambiance détendue, sauf que c’était mal organisé.",musique,positive,"Der Abend war cool, gute Musik und entspannte Atmosphäre, nur dass er schlecht organisiert war."
"La soirée était cool, bonne musique et ambiance détendue, sauf que c’était mal organisé.",organisation,negative,"Der Abend war cool, gute Musik und entspannte Atmosphäre, nur dass er schlecht organisiert war."
"Le projet est intéressant et le sujet pertinent, mais les consignes sont floues.",contenu,positive,"Das Projekt ist interessant und das Thema relevant, aber die Anweisungen sind vage."
"Le projet est intéressant et le sujet pertinent, mais les consignes sont floues.",consignes,negative,"Das Projekt ist interessant und das Thema relevant, aber die Anweisungen sind vage."
"J’aime bien l’appli, l’interface est propre et intuitive, mais elle bug tout le temps.",interface,positive,"Ich mag die App, die Benutzeroberfläche ist sauber und intuitiv, aber es gibt ständig Störungen."
"J’aime bien l’appli, l’interface est propre et intuitive, mais elle bug tout le temps.",stabilité,negative,"Ich mag die App, die Benutzeroberfläche ist sauber und intuitiv, aber es gibt ständig Störungen."
"Le film est prenant, l’histoire est touchante, mais la fin est bâclée.",scénario,positive,"Der Film ist packend, die Geschichte rührend, aber das Ende ist verpatzt."
"Le film est prenant, l’histoire est touchante, mais la fin est bâclée.",fin,negative,"Der Film ist packend, die Geschichte rührend, aber das Ende ist verpatzt."
"Le boulot est intéressant, j’apprends beaucoup et l’équipe est sympa, mais la pression est constante.",équipe,positive,"Der Job ist interessant, ich lerne viel und das Team ist nett, aber der Druck ist konstant."
"Le boulot est intéressant, j’apprends beaucoup et l’équipe est sympa, mais la pression est constante.",pression,negative,"Der Job ist interessant, ich lerne viel und das Team ist nett, aber der Druck ist konstant."
"Le quartier est agréable, calme et bien desservi, mais les loyers sont abusés.",cadre de vie,positive,"Die Gegend ist angenehm, ruhig und gut erschlossen, aber die Mieten sind überhöht."
"Le quartier est agréable, calme et bien desservi, mais les loyers sont abusés.",loyer,negative,"Die Gegend ist angenehm, ruhig und gut erschlossen, aber die Mieten sind überhöht."
"La formation est bien construite et tu montes vite en compétences, sauf que c’est trop théorique.",structure,positive,"Das Training ist gut aufgebaut und man verbessert seine Fähigkeiten schnell, nur dass es zu theoretisch ist."
"La formation est bien construite et tu montes vite en compétences, sauf que c’est trop théorique.",pratique,negative,"Das Training ist gut aufgebaut und man verbessert seine Fähigkeiten schnell, nur dass es zu theoretisch ist."
"Le café est bon et l’endroit cosy, mais c’est blindé et le service est lent.",qualité,positive,"Der Kaffee ist gut und der Ort ist gemütlich, aber es ist voll und der Service ist langsam."
"Le café est bon et l’endroit cosy, mais c’est blindé et le service est lent.",service,negative,"Der Kaffee ist gut und der Ort ist gemütlich, aber es ist voll und der Service ist langsam."
"Le jeu est addictif, le gameplay fluide, mais trop de micro-transactions.",gameplay,positive,"Das Spiel macht süchtig, das Gameplay ist flüssig, aber es gibt zu viele Mikrotransaktionen."
"Le jeu est addictif, le gameplay fluide, mais trop de micro-transactions.",monétisation,negative,"Das Spiel macht süchtig, das Gameplay ist flüssig, aber es gibt zu viele Mikrotransaktionen."
"Le stage est formateur et tu touches à des dossiers concrets, par contre l’encadrement est faible.",apprentissage,positive,"Das Praktikum ist lehrreich und man beschäftigt sich mit konkreten Fragestellungen, allerdings ist die Betreuung schwach."
"Le stage est formateur et tu touches à des dossiers concrets, par contre l’encadrement est faible.",encadrement,negative,"Das Praktikum ist lehrreich und man beschäftigt sich mit konkreten Fragestellungen, allerdings ist die Betreuung schwach."
"La ville est superbe et culturellement riche, mais c’est cher et bondé de touristes.",culture,positive,"Die Stadt ist wunderschön und kulturell reich, aber sie ist teuer und voller Touristen."
"La ville est superbe et culturellement riche, mais c’est cher et bondé de touristes.",coût de la vie,negative,"Die Stadt ist wunderschön und kulturell reich, aber sie ist teuer und voller Touristen."
"Le débat était intéressant et faisait réfléchir, mais ça tournait en rond.",qualité des échanges,positive,"Die Debatte war interessant und regte zum Nachdenken an, aber sie drehte sich im Kreis."
"Le débat était intéressant et faisait réfléchir, mais ça tournait en rond.",dynamique,negative,"Die Debatte war interessant und regte zum Nachdenken an, aber sie drehte sich im Kreis."
"Le produit est bien pensé et répond à un vrai besoin, sauf que la prise en main est compliquée.",fonctionnalités,positive,"Das Produkt ist gut durchdacht und erfüllt einen echten Bedarf, nur dass die Handhabung kompliziert ist."
"Le produit est bien pensé et répond à un vrai besoin, sauf que la prise en main est compliquée.",ergonomie,negative,"Das Produkt ist gut durchdacht und erfüllt einen echten Bedarf, nur dass die Handhabung kompliziert ist."
"Le prof est passionnant et on ne s’ennuie pas, mais les contrôles sont incohérents.",enseignement,positive,"Der Lehrer ist faszinierend und wir langweilen uns nicht, aber die Tests sind inkonsistent."
"Le prof est passionnant et on ne s’ennuie pas, mais les contrôles sont incohérents.",évaluation,negative,"Der Lehrer ist faszinierend und wir langweilen uns nicht, aber die Tests sind inkonsistent."
"La réunion était efficace et on est sortis avec un plan, mais c’était trop long.",décisions,positive,"Das Treffen war effektiv und wir haben einen Plan entwickelt, aber es hat zu lange gedauert."
"La réunion était efficace et on est sortis avec un plan, mais c’était trop long.",durée,negative,"Das Treffen war effektiv und wir haben einen Plan entwickelt, aber es hat zu lange gedauert."
"Le service est rapide et les démarches simples, mais le contact est froid.",rapidité,positive,"Der Service ist schnell und die Abläufe einfach, aber der Kontakt ist kalt."
"Le service est rapide et les démarches simples, mais le contact est froid.",relation client,negative,"Der Service ist schnell und die Abläufe einfach, aber der Kontakt ist kalt."
"Le livre est bien écrit avec des idées brillantes, mais il y a des longueurs.",style,positive,"Das Buch ist gut geschrieben mit brillanten Ideen, aber es gibt Längen."
"Le livre est bien écrit avec des idées brillantes, mais il y a des longueurs.",rythme,negative,"Das Buch ist gut geschrieben mit brillanten Ideen, aber es gibt Längen."
"L’événement est riche avec des intervenants intéressants, mais l’organisation est bancale.",contenu,positive,"Die Veranstaltung ist reich an interessanten Rednern, aber die Organisation ist wackelig."
"L’événement est riche avec des intervenants intéressants, mais l’organisation est bancale.",organisation,negative,"Die Veranstaltung ist reich an interessanten Rednern, aber die Organisation ist wackelig."
"Le logiciel est puissant et très complet, mais lent au démarrage.",fonctionnalités,positive,"Die Software ist leistungsstark und sehr vollständig, startet jedoch langsam."
"Le logiciel est puissant et très complet, mais lent au démarrage.",performance,negative,"Die Software ist leistungsstark und sehr vollständig, startet jedoch langsam."
"Le cours en ligne est pratique et flexible, mais la motivation retombe vite.",flexibilité,positive,"Der Online-Kurs ist praxisnah und flexibel, allerdings lässt die Motivation schnell nach."
"Le cours en ligne est pratique et flexible, mais la motivation retombe vite.",engagement,negative,"Der Online-Kurs ist praxisnah und flexibel, allerdings lässt die Motivation schnell nach."
"Le bar est sympa, bonne ambiance et prix corrects, mais trop bruyant.",ambiance,positive,"Die Bar ist schön, gute Atmosphäre und faire Preise, aber zu laut."
"Le bar est sympa, bonne ambiance et prix corrects, mais trop bruyant.",bruit,negative,"Die Bar ist schön, gute Atmosphäre und faire Preise, aber zu laut."
"Le projet est ambitieux avec un potentiel énorme, mais les délais sont irréalistes.",potentiel,positive,"Das Projekt ist ehrgeizig und bietet enormes Potenzial, aber die Fristen sind unrealistisch."
"Le projet est ambitieux avec un potentiel énorme, mais les délais sont irréalistes.",planning,negative,"Das Projekt ist ehrgeizig und bietet enormes Potenzial, aber die Fristen sind unrealistisch."
"La plateforme est utile et fait gagner du temps, mais l’interface est moche.",utilité,positive,"Die Plattform ist nützlich und spart Zeit, aber die Schnittstelle ist hässlich."
"La plateforme est utile et fait gagner du temps, mais l’interface est moche.",interface,negative,"Die Plattform ist nützlich und spart Zeit, aber die Schnittstelle ist hässlich."
"Le voyage en groupe était convivial et on a bien rigolé, mais zéro liberté dans le planning.",convivialité,positive,"Die Gruppenreise verlief freundlich und wir hatten viel Spaß, aber keine Freiheit bei der Planung."
"Le voyage en groupe était convivial et on a bien rigolé, mais zéro liberté dans le planning.",liberté,negative,"Die Gruppenreise verlief freundlich und wir hatten viel Spaß, aber keine Freiheit bei der Planung."
"Le travail est valorisant et on se sent utile, mais la reconnaissance est faible.",sens du travail,positive,"Die Arbeit ist lohnend und wir fühlen uns nützlich, aber die Anerkennung ist gering."
"Le travail est valorisant et on se sent utile, mais la reconnaissance est faible.",reconnaissance,negative,"Die Arbeit ist lohnend und wir fühlen uns nützlich, aber die Anerkennung ist gering."
"Le concept est moderne et répond à un besoin réel, mais l’exécution est maladroite.",idée,positive,"Das Konzept ist modern und entspricht einem echten Bedürfnis, die Umsetzung ist jedoch schwerfällig."
"Le concept est moderne et répond à un besoin réel, mais l’exécution est maladroite.",exécution,negative,"Das Konzept ist modern und entspricht einem echten Bedürfnis, die Umsetzung ist jedoch schwerfällig."
"Le bar est sympa et l’ambiance est cool, mais le service est lent.",ambiance,positive,"Die Bar ist schön und die Atmosphäre ist cool, aber der Service ist langsam."
"Le bar est sympa et l’ambiance est cool, mais le service est lent.",service,negative,"Die Bar ist schön und die Atmosphäre ist cool, aber der Service ist langsam."
"Le cours est intéressant et clair, mais les examens sont injustes.",contenu,positive,"Der Kurs ist interessant und übersichtlich, aber die Prüfungen sind unfair."
"Le cours est intéressant et clair, mais les examens sont injustes.",évaluation,negative,"Der Kurs ist interessant und übersichtlich, aber die Prüfungen sind unfair."
"Le téléphone est fluide et rapide, mais la batterie ne tient pas.",performance,positive,"Das Telefon ist flüssig und schnell, aber der Akku hält nicht durch."
"Le téléphone est fluide et rapide, mais la batterie ne tient pas.",batterie,negative,"Das Telefon ist flüssig und schnell, aber der Akku hält nicht durch."
"Le resto est chaleureux et la déco est belle, mais les plats sont fades.",décoration,positive,"Das Restaurant ist warm und die Einrichtung ist wunderschön, aber die Gerichte sind langweilig."
"Le resto est chaleureux et la déco est belle, mais les plats sont fades.",qualité des plats,negative,"Das Restaurant ist warm und die Einrichtung ist wunderschön, aber die Gerichte sind langweilig."
"Le projet est ambitieux et l’idée est bonne, mais l’exécution est bancale.",idée,positive,"Das Projekt ist ehrgeizig und die Idee gut, aber die Umsetzung wackelt."
"Le projet est ambitieux et l’idée est bonne, mais l’exécution est bancale.",exécution,negative,"Das Projekt ist ehrgeizig und die Idee gut, aber die Umsetzung wackelt."
"La ville est magnifique et culturelle, mais la vie est hors de prix.",cadre de vie,positive,"Die Stadt ist schön und kulturell, aber das Leben ist teuer."
"La ville est magnifique et culturelle, mais la vie est hors de prix.",coût de la vie,negative,"Die Stadt ist schön und kulturell, aber das Leben ist teuer."
"L’équipe est motivée et l’ambiance est saine, mais la charge est énorme.",ambiance d’équipe,positive,"Das Team ist motiviert und die Atmosphäre ist gesund, aber die Belastung ist enorm."
"L’équipe est motivée et l’ambiance est saine, mais la charge est énorme.",charge de travail,negative,"Das Team ist motiviert und die Atmosphäre ist gesund, aber die Belastung ist enorm."
"Le site est clair et pratique, mais il bug souvent.",ergonomie,positive,"Die Seite ist übersichtlich und praktisch, weist jedoch häufig Fehler auf."
"Le site est clair et pratique, mais il bug souvent.",stabilité,negative,"Die Seite ist übersichtlich und praktisch, weist jedoch häufig Fehler auf."
"Le film est bien joué et les acteurs sont convaincants, mais le scénario est prévisible.",jeu d’acteurs,positive,"Der Film ist gut gespielt und die Schauspieler überzeugen, das Szenario ist jedoch vorhersehbar."
"Le film est bien joué et les acteurs sont convaincants, mais le scénario est prévisible.",scénario,negative,"Der Film ist gut gespielt und die Schauspieler überzeugen, das Szenario ist jedoch vorhersehbar."
"La formation est solide et on apprend beaucoup, mais c’est trop théorique.",contenu,positive,"Die Ausbildung ist solide und wir lernen viel, aber es ist zu theoretisch."
"La formation est solide et on apprend beaucoup, mais c’est trop théorique.",pratique,negative,"Die Ausbildung ist solide und wir lernen viel, aber es ist zu theoretisch."
"Le service client est poli et réactif, mais il ne règle pas le problème.",réactivité,positive,"Der Kundenservice ist höflich und reaktionsschnell, löst das Problem jedoch nicht."
"Le service client est poli et réactif, mais il ne règle pas le problème.",efficacité,negative,"Der Kundenservice ist höflich und reaktionsschnell, löst das Problem jedoch nicht."
"L’hôtel est propre et bien situé, mais les chambres sont minuscules.",propreté,positive,"Das Hotel ist sauber und gut gelegen, aber die Zimmer sind winzig."
"L’hôtel est propre et bien situé, mais les chambres sont minuscules.",taille des chambres,negative,"Das Hotel ist sauber und gut gelegen, aber die Zimmer sind winzig."
"Le logiciel est puissant et complet, mais il est lent au démarrage.",fonctionnalités,positive,"Die Software ist leistungsstark und vollständig, startet jedoch langsam."
"Le logiciel est puissant et complet, mais il est lent au démarrage.",performance,negative,"Die Software ist leistungsstark und vollständig, startet jedoch langsam."
"La soirée était fun et on a bien rigolé, mais l’organisation était catastrophique.",ambiance,positive,"Der Abend war lustig und wir haben viel gelacht, aber die Organisation war katastrophal."
"La soirée était fun et on a bien rigolé, mais l’organisation était catastrophique.",organisation,negative,"Der Abend war lustig und wir haben viel gelacht, aber die Organisation war katastrophal."
"Le cours en ligne est flexible et pratique, mais on décroche vite.",flexibilité,positive,"Der Online-Kurs ist flexibel und praxisorientiert, allerdings verirrt man sich schnell."
"Le cours en ligne est flexible et pratique, mais on décroche vite.",engagement,negative,"Der Online-Kurs ist flexibel und praxisorientiert, allerdings verirrt man sich schnell."
"Le produit est esthétique et moderne, mais il manque de fiabilité.",design,positive,"Das Produkt ist ästhetisch und modern, aber es mangelt ihm an Zuverlässigkeit."
"Le produit est esthétique et moderne, mais il manque de fiabilité.",fiabilité,negative,"Das Produkt ist ästhetisch und modern, aber es mangelt ihm an Zuverlässigkeit."
"Le quartier est calme et agréable, mais mal desservi.",cadre,positive,"Das Viertel ist ruhig und angenehm, aber schlecht erschlossen."
"Le quartier est calme et agréable, mais mal desservi.",transports,negative,"Das Viertel ist ruhig und angenehm, aber schlecht erschlossen."
"Le stage est formateur et intéressant, mais l’encadrement est absent.",apprentissage,positive,"Der Kurs ist lehrreich und interessant, aber die Betreuung mangelt."
"Le stage est formateur et intéressant, mais l’encadrement est absent.",encadrement,negative,"Der Kurs ist lehrreich und interessant, aber die Betreuung mangelt."
"Le jeu est immersif et beau, mais il est plein de bugs.",graphismes,positive,"Das Spiel ist fesselnd und schön, aber voller Fehler."
"Le jeu est immersif et beau, mais il est plein de bugs.",stabilité,negative,"Das Spiel ist fesselnd und schön, aber voller Fehler."
"Le café est bon et l’endroit est cosy, mais c’est toujours bondé.",qualité,positive,"Der Kaffee ist gut und der Ort ist gemütlich, aber es ist immer voll."
"Le café est bon et l’endroit est cosy, mais c’est toujours bondé.",affluence,negative,"Der Kaffee ist gut und der Ort ist gemütlich, aber es ist immer voll."
"Le débat était pertinent et enrichissant, mais il tournait en rond.",contenu,positive,"Die Debatte war relevant und bereichernd, aber sie drehte sich im Kreis."
"Le débat était pertinent et enrichissant, mais il tournait en rond.",dynamique,negative,"Die Debatte war relevant und bereichernd, aber sie drehte sich im Kreis."
"La plateforme est utile et fait gagner du temps, mais l’interface est confuse.",utilité,positive,"Die Plattform ist nützlich und spart Zeit, aber die Benutzeroberfläche ist verwirrend."
"La plateforme est utile et fait gagner du temps, mais l’interface est confuse.",interface,negative,"Die Plattform ist nützlich und spart Zeit, aber die Benutzeroberfläche ist verwirrend."
"Le voyage était agréable et dépaysant, mais trop de temps perdu en transport.",expérience,positive,"Die Reise war angenehm und exotisch, aber es wurde zu viel Zeit mit dem Transport verschwendet."
"Le voyage était agréable et dépaysant, mais trop de temps perdu en transport.",transports,negative,"Die Reise war angenehm und exotisch, aber es wurde zu viel Zeit mit dem Transport verschwendet."
"Le livre est bien écrit et original, mais il y a des longueurs.",style,positive,"Das Buch ist gut geschrieben und originell, aber es gibt Längen."
"Le livre est bien écrit et original, mais il y a des longueurs.",rythme,negative,"Das Buch ist gut geschrieben und originell, aber es gibt Längen."
"Le service est rapide et efficace, mais le personnel est froid.",rapidité,positive,"Der Service ist schnell und effizient, aber das Personal ist kalt."
"Le service est rapide et efficace, mais le personnel est froid.",relation client,negative,"Der Service ist schnell und effizient, aber das Personal ist kalt."
"Le concert était intense et l’ambiance incroyable, mais le son était mal réglé.",ambiance,positive,"Das Konzert war intensiv und die Atmosphäre unglaublich, aber der Ton war schlecht reguliert."
"Le concert était intense et l’ambiance incroyable, mais le son était mal réglé.",qualité sonore,negative,"Das Konzert war intensiv und die Atmosphäre unglaublich, aber der Ton war schlecht reguliert."
"Le produit est simple et abordable, mais il tombe souvent en panne.",prix,positive,"Das Produkt ist einfach und erschwinglich, aber es geht oft kaputt."
"Le produit est simple et abordable, mais il tombe souvent en panne.",fiabilité,negative,"Das Produkt ist einfach und erschwinglich, aber es geht oft kaputt."
"Le travail est intéressant et valorisant, mais les perspectives sont faibles.",intérêt,positive,"Die Arbeit ist interessant und lohnend, aber die Aussichten sind schlecht."
"Le travail est intéressant et valorisant, mais les perspectives sont faibles.",évolution,negative,"Die Arbeit ist interessant und lohnend, aber die Aussichten sind schlecht."
"La réunion était productive et claire, mais beaucoup trop longue.",efficacité,positive,"Das Treffen war produktiv und klar, aber viel zu lang."
"La réunion était productive et claire, mais beaucoup trop longue.",durée,negative,"Das Treffen war produktiv und klar, aber viel zu lang."
"Le film est visuellement magnifique, mais l’histoire est creuse.",visuel,positive,"Der Film ist visuell atemberaubend, aber die Geschichte ist hohl."
"Le film est visuellement magnifique, mais l’histoire est creuse.",scénario,negative,"Der Film ist visuell atemberaubend, aber die Geschichte ist hohl."
"Le site est agréable à lire, mais il met trop de temps à charger.",design,positive,"Die Seite ist angenehm zu lesen, aber das Laden dauert zu lange."
"Le site est agréable à lire, mais il met trop de temps à charger.",performance,negative,"Die Seite ist angenehm zu lesen, aber das Laden dauert zu lange."
"Le cours est bien organisé et clair, mais le rythme est trop rapide.",structure,positive,"Der Kurs ist gut organisiert und übersichtlich, aber das Tempo ist zu hoch."
"Le cours est bien organisé et clair, mais le rythme est trop rapide.",rythme,negative,"Der Kurs ist gut organisiert und übersichtlich, aber das Tempo ist zu hoch."
"Le service est accueillant et sympathique, mais désorganisé.",accueil,positive,"Der Service ist herzlich und freundlich, aber unorganisiert."
"Le service est accueillant et sympathique, mais désorganisé.",organisation,negative,"Der Service ist herzlich und freundlich, aber unorganisiert."
"Le projet est prometteur et innovant, mais mal financé.",innovation,positive,"Das Projekt ist vielversprechend und innovativ, aber schlecht finanziert."
"Le projet est prometteur et innovant, mais mal financé.",financement,negative,"Das Projekt ist vielversprechend und innovativ, aber schlecht finanziert."
"La ville est dynamique et culturelle, mais bruyante et stressante.",vie culturelle,positive,"Die Stadt ist dynamisch und kulturell, aber auch laut und stressig."
"La ville est dynamique et culturelle, mais bruyante et stressante.",bruit,negative,"Die Stadt ist dynamisch und kulturell, aber auch laut und stressig."
"Le restaurant est convivial et chaleureux, mais les portions sont minuscules.",ambiance,positive,"Das Restaurant ist freundlich und warm, aber die Portionen sind winzig."
"Le restaurant est convivial et chaleureux, mais les portions sont minuscules.",quantité,negative,"Das Restaurant ist freundlich und warm, aber die Portionen sind winzig."
"L’application est intuitive et moderne, mais consomme trop de batterie.",ergonomie,positive,"Die Anwendung ist intuitiv und modern, verbraucht aber zu viel Akku."
"L’application est intuitive et moderne, mais consomme trop de batterie.",batterie,negative,"Die Anwendung ist intuitiv und modern, verbraucht aber zu viel Akku."
"Le film est drôle et divertissant, mais vite oubliable.",divertissement,positive,"Der Film ist lustig und unterhaltsam, aber schnell vergessen."
"Le film est drôle et divertissant, mais vite oubliable.",impact,negative,"Der Film ist lustig und unterhaltsam, aber schnell vergessen."
"Le service est fiable et rapide, mais le suivi est inexistant.",fiabilité,positive,"Der Service ist zuverlässig und schnell, aber die Nachverfolgung ist nicht vorhanden."
"Le service est fiable et rapide, mais le suivi est inexistant.",suivi,negative,"Der Service ist zuverlässig und schnell, aber die Nachverfolgung ist nicht vorhanden."
"Le voyage était confortable et bien organisé, mais sans liberté.",confort,positive,"Die Reise war komfortabel und gut organisiert, aber ohne Freiheit."
"Le voyage était confortable et bien organisé, mais sans liberté.",liberté,negative,"Die Reise war komfortabel und gut organisiert, aber ohne Freiheit."
"Le jeu est addictif et bien conçu, mais la progression est frustrante.",gameplay,positive,"Das Spiel macht süchtig und ist gut gestaltet, aber der Fortschritt ist frustrierend."
"Le jeu est addictif et bien conçu, mais la progression est frustrante.",progression,negative,"Das Spiel macht süchtig und ist gut gestaltet, aber der Fortschritt ist frustrierend."
"Le bar est bien situé et agréable, mais beaucoup trop cher.",emplacement,positive,"Die Bar ist gut gelegen und schön, aber viel zu teuer."
"Le bar est bien situé et agréable, mais beaucoup trop cher.",prix,negative,"Die Bar ist gut gelegen und schön, aber viel zu teuer."
"Le cours est passionnant et vivant, mais les évaluations sont incohérentes.",enseignement,positive,"Der Kurs ist spannend und lebendig, die Bewertungen sind jedoch uneinheitlich."
"Le cours est passionnant et vivant, mais les évaluations sont incohérentes.",évaluation,negative,"Der Kurs ist spannend und lebendig, die Bewertungen sind jedoch uneinheitlich."
"Le logiciel est complet et puissant, mais difficile à prendre en main.",fonctionnalités,positive,"Die Software ist vollständig und leistungsstark, aber schwierig zu bedienen."
"Le logiciel est complet et puissant, mais difficile à prendre en main.",prise en main,negative,"Die Software ist vollständig und leistungsstark, aber schwierig zu bedienen."
"La soirée était animée et festive, mais trop bruyante.",ambiance,positive,"Der Abend war lebhaft und festlich, aber zu laut."
"La soirée était animée et festive, mais trop bruyante.",bruit,negative,"Der Abend war lebhaft und festlich, aber zu laut."
"Le site est sécurisé et fiable, mais l’inscription est compliquée.",sécurité,positive,"Die Website ist sicher und zuverlässig, die Registrierung ist jedoch kompliziert."
"Le site est sécurisé et fiable, mais l’inscription est compliquée.",inscription,negative,"Die Website ist sicher und zuverlässig, die Registrierung ist jedoch kompliziert."
"Le travail est stimulant et varié, mais mal payé.",contenu,positive,"Die Arbeit ist anregend und abwechslungsreich, aber schlecht bezahlt."
"Le travail est stimulant et varié, mais mal payé.",salaire,negative,"Die Arbeit ist anregend und abwechslungsreich, aber schlecht bezahlt."
"Le produit est élégant et bien fini, mais peu durable.",finition,positive,"Das Produkt ist elegant und gut verarbeitet, aber nicht sehr langlebig."
"Le produit est élégant et bien fini, mais peu durable.",durabilité,negative,"Das Produkt ist elegant und gut verarbeitet, aber nicht sehr langlebig."
"La ville est charmante et historique, mais peu pratique au quotidien.",charme,positive,"Die Stadt ist charmant und historisch, aber für den täglichen Gebrauch unpraktisch."
"La ville est charmante et historique, mais peu pratique au quotidien.",praticité,negative,"Die Stadt ist charmant und historisch, aber für den täglichen Gebrauch unpraktisch."
"Le service client est aimable et disponible, mais inefficace.",amabilité,positive,"Der Kundenservice ist freundlich und verfügbar, aber ineffektiv."
"Le service client est aimable et disponible, mais inefficace.",efficacité,negative,"Der Kundenservice ist freundlich und verfügbar, aber ineffektiv."
"Le film est émouvant et sincère, mais trop long.",émotion,positive,"Der Film ist bewegend und aufrichtig, aber zu lang."
"Le film est émouvant et sincère, mais trop long.",durée,negative,"Der Film ist bewegend und aufrichtig, aber zu lang."
"La formation est accessible et bien expliquée, mais superficielle.",clarté,positive,"Das Training ist zugänglich und gut erklärt, aber oberflächlich."
"La formation est accessible et bien expliquée, mais superficielle.",profondeur,negative,"Das Training ist zugänglich und gut erklärt, aber oberflächlich."
"Le restaurant est populaire et bien situé, mais bruyant.",emplacement,positive,"Das Restaurant ist beliebt und gut gelegen, aber laut."
"Le restaurant est populaire et bien situé, mais bruyant.",bruit,negative,"Das Restaurant ist beliebt und gut gelegen, aber laut."
"Le projet est structuré et clair, mais manque d’ambition.",structure,positive,"Das Projekt ist strukturiert und klar, aber es mangelt an Ehrgeiz."
"Le projet est structuré et clair, mais manque d’ambition.",ambition,negative,"Das Projekt ist strukturiert und klar, aber es mangelt an Ehrgeiz."
