text,aspect,label,text_traduit_en
"Le projet est vraiment pertinent sur le papier, l’idée est bien pensée, le cadre est clair et tout le monde voit l’intérêt, mais quand on regarde de près l’exécution on sent que c’est bâclé et que beaucoup de détails n’ont pas été travaillés.",cadrage,positive,"Le projet est vraiment pertinent sur le papier, l’idée est bien pensée, le cadre est clair et tout le monde voit l’intérêt, mais quand on regarde de près l’exécution on sent que c’est bâclé et que beaucoup de détails n’ont pas été travaillés."
"Le projet est vraiment pertinent sur le papier, l’idée est bien pensée, le cadre est clair et tout le monde voit l’intérêt, mais quand on regarde de près l’exécution on sent que c’est bâclé et que beaucoup de détails n’ont pas été travaillés.",exécution,negative,"Le projet est vraiment pertinent sur le papier, l’idée est bien pensée, le cadre est clair et tout le monde voit l’intérêt, mais quand on regarde de près l’exécution on sent que c’est bâclé et que beaucoup de détails n’ont pas été travaillés."
"La ville est franchement agréable à vivre, il y a de beaux quartiers, une vraie vie culturelle et toujours quelque chose à faire le soir, mais au quotidien la circulation est un enfer et perdre une heure dans les embouteillages devient vite épuisant.",qualité de vie,positive,"La ville est franchement agréable à vivre, il y a de beaux quartiers, une vraie vie culturelle et toujours quelque chose à faire le soir, mais au quotidien la circulation est un enfer et perdre une heure dans les embouteillages devient vite épuisant."
"La ville est franchement agréable à vivre, il y a de beaux quartiers, une vraie vie culturelle et toujours quelque chose à faire le soir, mais au quotidien la circulation est un enfer et perdre une heure dans les embouteillages devient vite épuisant.",circulation,negative,"La ville est franchement agréable à vivre, il y a de beaux quartiers, une vraie vie culturelle et toujours quelque chose à faire le soir, mais au quotidien la circulation est un enfer et perdre une heure dans les embouteillages devient vite épuisant."
"L’équipe est vraiment soudée, l’ambiance est bonne, on se soutient entre collègues et on a l’impression de travailler avec des gens motivés, mais dès qu’il faut faire passer une information importante la communication devient chaotique et personne n’est aligné.",cohésion,positive,"L’équipe est vraiment soudée, l’ambiance est bonne, on se soutient entre collègues et on a l’impression de travailler avec des gens motivés, mais dès qu’il faut faire passer une information importante la communication devient chaotique et personne n’est aligné."
"L’équipe est vraiment soudée, l’ambiance est bonne, on se soutient entre collègues et on a l’impression de travailler avec des gens motivés, mais dès qu’il faut faire passer une information importante la communication devient chaotique et personne n’est aligné.",communication,negative,"L’équipe est vraiment soudée, l’ambiance est bonne, on se soutient entre collègues et on a l’impression de travailler avec des gens motivés, mais dès qu’il faut faire passer une information importante la communication devient chaotique et personne n’est aligné."
"Le site est agréable à parcourir, tout est bien organisé, on trouve facilement ce qu’on cherche et la navigation est intuitive, mais il suffit de cliquer un peu trop vite pour que tout se mette à buguer et que la page se recharge sans raison.",ergonomie,positive,"Le site est agréable à parcourir, tout est bien organisé, on trouve facilement ce qu’on cherche et la navigation est intuitive, mais il suffit de cliquer un peu trop vite pour que tout se mette à buguer et que la page se recharge sans raison."
"Le site est agréable à parcourir, tout est bien organisé, on trouve facilement ce qu’on cherche et la navigation est intuitive, mais il suffit de cliquer un peu trop vite pour que tout se mette à buguer et que la page se recharge sans raison.",stabilité,negative,"Le site est agréable à parcourir, tout est bien organisé, on trouve facilement ce qu’on cherche et la navigation est intuitive, mais il suffit de cliquer un peu trop vite pour que tout se mette à buguer et que la page se recharge sans raison."
"Le film est porté par des acteurs vraiment convaincants, certaines scènes sont touchantes et on se laisse facilement prendre par l’histoire, mais au bout d’un moment le rythme retombe et on sent que le scénario tourne un peu en rond.",jeu d’acteurs,positive,"Le film est porté par des acteurs vraiment convaincants, certaines scènes sont touchantes et on se laisse facilement prendre par l’histoire, mais au bout d’un moment le rythme retombe et on sent que le scénario tourne un peu en rond."
"Le film est porté par des acteurs vraiment convaincants, certaines scènes sont touchantes et on se laisse facilement prendre par l’histoire, mais au bout d’un moment le rythme retombe et on sent que le scénario tourne un peu en rond.",rythme,negative,"Le film est porté par des acteurs vraiment convaincants, certaines scènes sont touchantes et on se laisse facilement prendre par l’histoire, mais au bout d’un moment le rythme retombe et on sent que le scénario tourne un peu en rond."
"La formation est solide, le programme est complet, on voit beaucoup de notions utiles et on a l’impression d’apprendre des choses sérieuses, mais dans la pratique on reste trop dans la théorie et on manque cruellement d’exemples concrets.",contenu,positive,"La formation est solide, le programme est complet, on voit beaucoup de notions utiles et on a l’impression d’apprendre des choses sérieuses, mais dans la pratique on reste trop dans la théorie et on manque cruellement d’exemples concrets."
"La formation est solide, le programme est complet, on voit beaucoup de notions utiles et on a l’impression d’apprendre des choses sérieuses, mais dans la pratique on reste trop dans la théorie et on manque cruellement d’exemples concrets.",pratique,negative,"La formation est solide, le programme est complet, on voit beaucoup de notions utiles et on a l’impression d’apprendre des choses sérieuses, mais dans la pratique on reste trop dans la théorie et on manque cruellement d’exemples concrets."
"Le service client répond rapidement, les conseillers sont polis, prennent le temps d’écouter et donnent l’impression de vouloir aider, mais au final les problèmes ne sont jamais vraiment réglés et on se retrouve à rappeler plusieurs fois.",réactivité,positive,"Le service client répond rapidement, les conseillers sont polis, prennent le temps d’écouter et donnent l’impression de vouloir aider, mais au final les problèmes ne sont jamais vraiment réglés et on se retrouve à rappeler plusieurs fois."
"Le service client répond rapidement, les conseillers sont polis, prennent le temps d’écouter et donnent l’impression de vouloir aider, mais au final les problèmes ne sont jamais vraiment réglés et on se retrouve à rappeler plusieurs fois.",efficacité,negative,"Le service client répond rapidement, les conseillers sont polis, prennent le temps d’écouter et donnent l’impression de vouloir aider, mais au final les problèmes ne sont jamais vraiment réglés et on se retrouve à rappeler plusieurs fois."
"L’hôtel est propre, les parties communes sont bien entretenues et l’emplacement est vraiment pratique pour visiter la ville, mais une fois dans la chambre on se rend compte que l’isolation est mauvaise et qu’on entend tout ce qui se passe autour.",propreté,positive,"L’hôtel est propre, les parties communes sont bien entretenues et l’emplacement est vraiment pratique pour visiter la ville, mais une fois dans la chambre on se rend compte que l’isolation est mauvaise et qu’on entend tout ce qui se passe autour."
"L’hôtel est propre, les parties communes sont bien entretenues et l’emplacement est vraiment pratique pour visiter la ville, mais une fois dans la chambre on se rend compte que l’isolation est mauvaise et qu’on entend tout ce qui se passe autour.",insonorisation,negative,"L’hôtel est propre, les parties communes sont bien entretenues et l’emplacement est vraiment pratique pour visiter la ville, mais une fois dans la chambre on se rend compte que l’isolation est mauvaise et qu’on entend tout ce qui se passe autour."
"Le logiciel est très complet, il propose énormément de fonctionnalités et permet de faire quasiment tout ce dont on a besoin, mais il est tellement lourd qu’il met un temps fou à démarrer et ralentit clairement le travail.",fonctionnalités,positive,"Le logiciel est très complet, il propose énormément de fonctionnalités et permet de faire quasiment tout ce dont on a besoin, mais il est tellement lourd qu’il met un temps fou à démarrer et ralentit clairement le travail."
"Le logiciel est très complet, il propose énormément de fonctionnalités et permet de faire quasiment tout ce dont on a besoin, mais il est tellement lourd qu’il met un temps fou à démarrer et ralentit clairement le travail.",performance,negative,"Le logiciel est très complet, il propose énormément de fonctionnalités et permet de faire quasiment tout ce dont on a besoin, mais il est tellement lourd qu’il met un temps fou à démarrer et ralentit clairement le travail."
"La soirée était vraiment conviviale, on a bien rigolé, l’ambiance était détendue et les gens super sympas, mais le volume de la musique était tellement fort qu’on ne s’entendait plus parler et que ça finissait par fatiguer.",ambiance,positive,"La soirée était vraiment conviviale, on a bien rigolé, l’ambiance était détendue et les gens super sympas, mais le volume de la musique était tellement fort qu’on ne s’entendait plus parler et que ça finissait par fatiguer."
"La soirée était vraiment conviviale, on a bien rigolé, l’ambiance était détendue et les gens super sympas, mais le volume de la musique était tellement fort qu’on ne s’entendait plus parler et que ça finissait par fatiguer.",bruit,negative,"La soirée était vraiment conviviale, on a bien rigolé, l’ambiance était détendue et les gens super sympas, mais le volume de la musique était tellement fort qu’on ne s’entendait plus parler et que ça finissait par fatiguer."
"Le cours en ligne est très pratique, tu peux avancer à ton rythme, revoir les vidéos quand tu veux et t’organiser comme tu l’entends, mais au bout de quelques semaines tu te rends compte que sans interactions la motivation chute rapidement.",flexibilité,positive,"Le cours en ligne est très pratique, tu peux avancer à ton rythme, revoir les vidéos quand tu veux et t’organiser comme tu l’entends, mais au bout de quelques semaines tu te rends compte que sans interactions la motivation chute rapidement."
"Le cours en ligne est très pratique, tu peux avancer à ton rythme, revoir les vidéos quand tu veux et t’organiser comme tu l’entends, mais au bout de quelques semaines tu te rends compte que sans interactions la motivation chute rapidement.",engagement,negative,"Le cours en ligne est très pratique, tu peux avancer à ton rythme, revoir les vidéos quand tu veux et t’organiser comme tu l’entends, mais au bout de quelques semaines tu te rends compte que sans interactions la motivation chute rapidement."
"Le produit est vraiment élégant, les finitions sont propres, le design est moderne et donne envie de l’utiliser, mais à l’usage on sent qu’il n’est pas très robuste et qu’il risque de s’abîmer rapidement.",design,positive,"Le produit est vraiment élégant, les finitions sont propres, le design est moderne et donne envie de l’utiliser, mais à l’usage on sent qu’il n’est pas très robuste et qu’il risque de s’abîmer rapidement."
"Le produit est vraiment élégant, les finitions sont propres, le design est moderne et donne envie de l’utiliser, mais à l’usage on sent qu’il n’est pas très robuste et qu’il risque de s’abîmer rapidement.",durabilité,negative,"Le produit est vraiment élégant, les finitions sont propres, le design est moderne et donne envie de l’utiliser, mais à l’usage on sent qu’il n’est pas très robuste et qu’il risque de s’abîmer rapidement."
"Le quartier est paisible, il y a beaucoup d’espaces verts, on s’y sent bien pour vivre au quotidien et se reposer, mais dès qu’il faut se déplacer on se rend compte que les transports sont mal organisés et peu fréquents.",environnement,positive,"Le quartier est paisible, il y a beaucoup d’espaces verts, on s’y sent bien pour vivre au quotidien et se reposer, mais dès qu’il faut se déplacer on se rend compte que les transports sont mal organisés et peu fréquents."
"Le quartier est paisible, il y a beaucoup d’espaces verts, on s’y sent bien pour vivre au quotidien et se reposer, mais dès qu’il faut se déplacer on se rend compte que les transports sont mal organisés et peu fréquents.",transports,negative,"Le quartier est paisible, il y a beaucoup d’espaces verts, on s’y sent bien pour vivre au quotidien et se reposer, mais dès qu’il faut se déplacer on se rend compte que les transports sont mal organisés et peu fréquents."
"Le stage est très formateur, on touche à des projets concrets, on apprend énormément sur le terrain et on sent que ça apporte une vraie expérience, mais il n’y a quasiment pas d’encadrement et on est souvent livré à soi-même.",apprentissage,positive,"Le stage est très formateur, on touche à des projets concrets, on apprend énormément sur le terrain et on sent que ça apporte une vraie expérience, mais il n’y a quasiment pas d’encadrement et on est souvent livré à soi-même."
"Le stage est très formateur, on touche à des projets concrets, on apprend énormément sur le terrain et on sent que ça apporte une vraie expérience, mais il n’y a quasiment pas d’encadrement et on est souvent livré à soi-même.",encadrement,negative,"Le stage est très formateur, on touche à des projets concrets, on apprend énormément sur le terrain et on sent que ça apporte une vraie expérience, mais il n’y a quasiment pas d’encadrement et on est souvent livré à soi-même."
"Le jeu est vraiment immersif, les graphismes sont beaux, l’univers est cohérent et on a envie d’y passer du temps, mais après quelques heures on se rend compte que les missions se ressemblent et que la répétition devient lassante.",graphismes,positive,"Le jeu est vraiment immersif, les graphismes sont beaux, l’univers est cohérent et on a envie d’y passer du temps, mais après quelques heures on se rend compte que les missions se ressemblent et que la répétition devient lassante."
"Le jeu est vraiment immersif, les graphismes sont beaux, l’univers est cohérent et on a envie d’y passer du temps, mais après quelques heures on se rend compte que les missions se ressemblent et que la répétition devient lassante.",variété,negative,"Le jeu est vraiment immersif, les graphismes sont beaux, l’univers est cohérent et on a envie d’y passer du temps, mais après quelques heures on se rend compte que les missions se ressemblent et que la répétition devient lassante."
"Le café est excellent, les arômes sont riches, l’endroit est cosy et on a envie d’y rester pour discuter ou travailler, mais les prix sont tellement élevés que ça devient difficile d’y aller régulièrement.",qualité,positive,"Le café est excellent, les arômes sont riches, l’endroit est cosy et on a envie d’y rester pour discuter ou travailler, mais les prix sont tellement élevés que ça devient difficile d’y aller régulièrement."
"Le café est excellent, les arômes sont riches, l’endroit est cosy et on a envie d’y rester pour discuter ou travailler, mais les prix sont tellement élevés que ça devient difficile d’y aller régulièrement.",prix,negative,"Le café est excellent, les arômes sont riches, l’endroit est cosy et on a envie d’y rester pour discuter ou travailler, mais les prix sont tellement élevés que ça devient difficile d’y aller régulièrement."
"Le débat était intéressant, les intervenants avaient de vrais arguments et ça donnait matière à réflexion, mais l’absence de modération faisait que certains parlaient trop longtemps et que le sujet partait souvent dans tous les sens.",contenu,positive,"Le débat était intéressant, les intervenants avaient de vrais arguments et ça donnait matière à réflexion, mais l’absence de modération faisait que certains parlaient trop longtemps et que le sujet partait souvent dans tous les sens."
"Le débat était intéressant, les intervenants avaient de vrais arguments et ça donnait matière à réflexion, mais l’absence de modération faisait que certains parlaient trop longtemps et que le sujet partait souvent dans tous les sens.",modération,negative,"Le débat était intéressant, les intervenants avaient de vrais arguments et ça donnait matière à réflexion, mais l’absence de modération faisait que certains parlaient trop longtemps et que le sujet partait souvent dans tous les sens."
"La plateforme est vraiment utile, elle centralise tout, permet de gagner du temps et d’éviter beaucoup de tâches répétitives, mais dès qu’il y a un peu trop de monde connecté elle devient lente et peu réactive.",utilité,positive,"La plateforme est vraiment utile, elle centralise tout, permet de gagner du temps et d’éviter beaucoup de tâches répétitives, mais dès qu’il y a un peu trop de monde connecté elle devient lente et peu réactive."
"La plateforme est vraiment utile, elle centralise tout, permet de gagner du temps et d’éviter beaucoup de tâches répétitives, mais dès qu’il y a un peu trop de monde connecté elle devient lente et peu réactive.",performance,negative,"La plateforme est vraiment utile, elle centralise tout, permet de gagner du temps et d’éviter beaucoup de tâches répétitives, mais dès qu’il y a un peu trop de monde connecté elle devient lente et peu réactive."
"Le voyage était dépaysant, on a vu des paysages incroyables, découvert une autre culture et vécu des moments mémorables, mais le rythme était tellement intense qu’on est rentrés complètement épuisés.",expérience,positive,"Le voyage était dépaysant, on a vu des paysages incroyables, découvert une autre culture et vécu des moments mémorables, mais le rythme était tellement intense qu’on est rentrés complètement épuisés."
"Le voyage était dépaysant, on a vu des paysages incroyables, découvert une autre culture et vécu des moments mémorables, mais le rythme était tellement intense qu’on est rentrés complètement épuisés.",fatigue,negative,"Le voyage était dépaysant, on a vu des paysages incroyables, découvert une autre culture et vécu des moments mémorables, mais le rythme était tellement intense qu’on est rentrés complètement épuisés."
"Le livre est bien écrit, le style est fluide, certaines idées sont vraiment originales et on se laisse facilement porter par la narration, mais il y a beaucoup de passages trop longs qui cassent le rythme.",style,positive,"Le livre est bien écrit, le style est fluide, certaines idées sont vraiment originales et on se laisse facilement porter par la narration, mais il y a beaucoup de passages trop longs qui cassent le rythme."
"Le livre est bien écrit, le style est fluide, certaines idées sont vraiment originales et on se laisse facilement porter par la narration, mais il y a beaucoup de passages trop longs qui cassent le rythme.",rythme,negative,"Le livre est bien écrit, le style est fluide, certaines idées sont vraiment originales et on se laisse facilement porter par la narration, mais il y a beaucoup de passages trop longs qui cassent le rythme."
"Le service est rapide, les démarches sont simples, on obtient une réponse sans attendre des heures et tout semble bien huilé, mais le contact est tellement impersonnel qu’on a l’impression d’être juste un numéro.",rapidité,positive,"Le service est rapide, les démarches sont simples, on obtient une réponse sans attendre des heures et tout semble bien huilé, mais le contact est tellement impersonnel qu’on a l’impression d’être juste un numéro."
"Le service est rapide, les démarches sont simples, on obtient une réponse sans attendre des heures et tout semble bien huilé, mais le contact est tellement impersonnel qu’on a l’impression d’être juste un numéro.",relation client,negative,"Le service est rapide, les démarches sont simples, on obtient une réponse sans attendre des heures et tout semble bien huilé, mais le contact est tellement impersonnel qu’on a l’impression d’être juste un numéro."
"Le concert était intense, l’énergie du public était incroyable, on a vraiment vécu un moment fort et unique, mais la qualité du son était inégale et parfois on ne comprenait même plus les paroles.",ambiance,positive,"Le concert était intense, l’énergie du public était incroyable, on a vraiment vécu un moment fort et unique, mais la qualité du son était inégale et parfois on ne comprenait même plus les paroles."
"Le concert était intense, l’énergie du public était incroyable, on a vraiment vécu un moment fort et unique, mais la qualité du son était inégale et parfois on ne comprenait même plus les paroles.",son,negative,"Le concert était intense, l’énergie du public était incroyable, on a vraiment vécu un moment fort et unique, mais la qualité du son était inégale et parfois on ne comprenait même plus les paroles."
"Le produit est simple à utiliser, même sans notice on comprend vite comment ça fonctionne et c’est accessible à tout le monde, mais au moindre choc on sent qu’il est fragile et qu’il ne tiendra pas dans le temps.",simplicité,positive,"Le produit est simple à utiliser, même sans notice on comprend vite comment ça fonctionne et c’est accessible à tout le monde, mais au moindre choc on sent qu’il est fragile et qu’il ne tiendra pas dans le temps."
"Le produit est simple à utiliser, même sans notice on comprend vite comment ça fonctionne et c’est accessible à tout le monde, mais au moindre choc on sent qu’il est fragile et qu’il ne tiendra pas dans le temps.",solidité,negative,"Le produit est simple à utiliser, même sans notice on comprend vite comment ça fonctionne et c’est accessible à tout le monde, mais au moindre choc on sent qu’il est fragile et qu’il ne tiendra pas dans le temps."
"Le travail est intéressant, on touche à des sujets variés, on ne s’ennuie pas et on a le sentiment d’apprendre des choses utiles, mais malgré tout la reconnaissance est faible et les efforts ne sont pas vraiment valorisés.",intérêt,positive,"Le travail est intéressant, on touche à des sujets variés, on ne s’ennuie pas et on a le sentiment d’apprendre des choses utiles, mais malgré tout la reconnaissance est faible et les efforts ne sont pas vraiment valorisés."
"Le travail est intéressant, on touche à des sujets variés, on ne s’ennuie pas et on a le sentiment d’apprendre des choses utiles, mais malgré tout la reconnaissance est faible et les efforts ne sont pas vraiment valorisés.",reconnaissance,negative,"Le travail est intéressant, on touche à des sujets variés, on ne s’ennuie pas et on a le sentiment d’apprendre des choses utiles, mais malgré tout la reconnaissance est faible et les efforts ne sont pas vraiment valorisés."
"Le film est visuellement superbe, la réalisation est soignée, certaines scènes sont vraiment marquantes et esthétiques, mais l’histoire manque de profondeur et on a du mal à s’attacher aux personnages.",visuel,positive,"Le film est visuellement superbe, la réalisation est soignée, certaines scènes sont vraiment marquantes et esthétiques, mais l’histoire manque de profondeur et on a du mal à s’attacher aux personnages."
"Le film est visuellement superbe, la réalisation est soignée, certaines scènes sont vraiment marquantes et esthétiques, mais l’histoire manque de profondeur et on a du mal à s’attacher aux personnages.",scénario,negative,"Le film est visuellement superbe, la réalisation est soignée, certaines scènes sont vraiment marquantes et esthétiques, mais l’histoire manque de profondeur et on a du mal à s’attacher aux personnages."
"Le site est clair, les informations sont bien présentées, on trouve rapidement ce qu’on cherche et la navigation est agréable, mais les temps de chargement sont tellement longs que ça devient frustrant.",lisibilité,positive,"Le site est clair, les informations sont bien présentées, on trouve rapidement ce qu’on cherche et la navigation est agréable, mais les temps de chargement sont tellement longs que ça devient frustrant."
"Le site est clair, les informations sont bien présentées, on trouve rapidement ce qu’on cherche et la navigation est agréable, mais les temps de chargement sont tellement longs que ça devient frustrant.",chargement,negative,"Le site est clair, les informations sont bien présentées, on trouve rapidement ce qu’on cherche et la navigation est agréable, mais les temps de chargement sont tellement longs que ça devient frustrant."
"Le cours est structuré, logique, on comprend bien la progression et chaque notion s’enchaîne naturellement, mais le rythme est tellement lent que l’on finit parfois par décrocher.",organisation,positive,"Le cours est structuré, logique, on comprend bien la progression et chaque notion s’enchaîne naturellement, mais le rythme est tellement lent que l’on finit parfois par décrocher."
"Le cours est structuré, logique, on comprend bien la progression et chaque notion s’enchaîne naturellement, mais le rythme est tellement lent que l’on finit parfois par décrocher.",rythme,negative,"Le cours est structuré, logique, on comprend bien la progression et chaque notion s’enchaîne naturellement, mais le rythme est tellement lent que l’on finit parfois par décrocher."
"Le service est accueillant, les employés sont souriants, prennent le temps d’expliquer et donnent une bonne première impression, mais derrière l’organisation est chaotique et les erreurs sont fréquentes.",accueil,positive,"Le service est accueillant, les employés sont souriants, prennent le temps d’expliquer et donnent une bonne première impression, mais derrière l’organisation est chaotique et les erreurs sont fréquentes."
"Le service est accueillant, les employés sont souriants, prennent le temps d’expliquer et donnent une bonne première impression, mais derrière l’organisation est chaotique et les erreurs sont fréquentes.",organisation,negative,"Le service est accueillant, les employés sont souriants, prennent le temps d’expliquer et donnent une bonne première impression, mais derrière l’organisation est chaotique et les erreurs sont fréquentes."
"Le projet est ambitieux, il rassemble les équipes autour d’une vision commune, donne envie de s’investir et de construire quelque chose de solide, mais le financement est insuffisant et met tout en difficulté.",ambition,positive,"Le projet est ambitieux, il rassemble les équipes autour d’une vision commune, donne envie de s’investir et de construire quelque chose de solide, mais le financement est insuffisant et met tout en difficulté."
"Le projet est ambitieux, il rassemble les équipes autour d’une vision commune, donne envie de s’investir et de construire quelque chose de solide, mais le financement est insuffisant et met tout en difficulté.",financement,negative,"Le projet est ambitieux, il rassemble les équipes autour d’une vision commune, donne envie de s’investir et de construire quelque chose de solide, mais le financement est insuffisant et met tout en difficulté."
"La ville est dynamique, il y a toujours des événements, des expositions, des concerts et une vraie vie culturelle, mais au quotidien le bruit et le stress rendent la vie parfois pesante.",culture,positive,"La ville est dynamique, il y a toujours des événements, des expositions, des concerts et une vraie vie culturelle, mais au quotidien le bruit et le stress rendent la vie parfois pesante."
"La ville est dynamique, il y a toujours des événements, des expositions, des concerts et une vraie vie culturelle, mais au quotidien le bruit et le stress rendent la vie parfois pesante.",stress,negative,"La ville est dynamique, il y a toujours des événements, des expositions, des concerts et une vraie vie culturelle, mais au quotidien le bruit et le stress rendent la vie parfois pesante."
"Le restaurant est chaleureux, l’accueil est agréable, on se sent tout de suite à l’aise et l’ambiance est conviviale, mais le service est tellement lent que le repas finit par s’éterniser.",ambiance,positive,"Le restaurant est chaleureux, l’accueil est agréable, on se sent tout de suite à l’aise et l’ambiance est conviviale, mais le service est tellement lent que le repas finit par s’éterniser."
"Le restaurant est chaleureux, l’accueil est agréable, on se sent tout de suite à l’aise et l’ambiance est conviviale, mais le service est tellement lent que le repas finit par s’éterniser.",service,negative,"Le restaurant est chaleureux, l’accueil est agréable, on se sent tout de suite à l’aise et l’ambiance est conviviale, mais le service est tellement lent que le repas finit par s’éterniser."
"L’application est fluide, moderne, agréable à utiliser et donne vraiment l’impression d’un produit bien conçu, mais on sent qu’elle manque de sécurité et qu’elle n’est pas totalement fiable sur ce point.",ergonomie,positive,"L’application est fluide, moderne, agréable à utiliser et donne vraiment l’impression d’un produit bien conçu, mais on sent qu’elle manque de sécurité et qu’elle n’est pas totalement fiable sur ce point."
"L’application est fluide, moderne, agréable à utiliser et donne vraiment l’impression d’un produit bien conçu, mais on sent qu’elle manque de sécurité et qu’elle n’est pas totalement fiable sur ce point.",sécurité,negative,"L’application est fluide, moderne, agréable à utiliser et donne vraiment l’impression d’un produit bien conçu, mais on sent qu’elle manque de sécurité et qu’elle n’est pas totalement fiable sur ce point."
